Index,Player,Team,Position,KDA,Kill,Death,Assist,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,mole,BL,MID,6.3,4.5,2.1,9.2,7,21,17,0.705,95,4.5,195,9.2,46,2.1,424.5,8.4,711.8,0.263,646,0.191,0.3,0.2
2,haoye,BL,JUG,6.2,6,2.2,8.1,5,21,17,0.727,128,6,171,8.1,48,2.2,430.5,7.9,562.5,0.208,963.3,0.285,0.4,0.4
3,Baolan,BL,SUP,6.2,0.6,2.4,14.4,2,21,17,0.768,13,0.6,303,14.4,51,2.4,271.2,1.2,209.9,0.077,496.1,0.147,1.7,0.4
4,Zwuji,M3,ADC,5.8,4.6,1.9,6.4,1,23,11,0.749,106,4.6,148,6.4,44,1.9,439,9.8,784.2,0.323,457,0.141,0.3,0.3
5,san,KB,ADC,5.7,5.8,2.3,7.2,3,23,17,0.704,134,5.8,167,7.2,53,2.3,445.8,9.4,701.5,0.253,449.2,0.116,0.4,0.3
6,Doinb,BYG,MID,5.2,4.4,2.6,9.4,2,20,11,0.793,88,4.4,189,9.4,53,2.6,417.3,8.9,759,0.291,751.8,0.211,0.3,0.2
7,Kuro,KB,MID,5,2.8,2.3,9.1,2,23,17,0.646,66,2.8,210,9.1,55,2.3,399.8,8.5,607.2,0.219,650.3,0.168,0.4,0.2
8,Xiyang,BL,TOP,4.9,2.3,2,7.7,0,21,17,0.515,49,2.3,163,7.7,43,2,377,7.5,437.2,0.161,785.9,0.233,0.4,0.2
9,Smlz,BL,ADC,4.7,6,2.7,6.9,3,21,17,0.659,126,6,145,6.9,58,2.7,464.2,9.4,781.2,0.289,478.1,0.141,0.2,0.2
10,icon,M3,MID,4.6,4.4,2.6,7.6,7,23,11,0.82,102,4.4,176,7.6,61,2.6,419.8,9.3,670.8,0.276,661.8,0.204,0.3,0.2
11,Corn,BGM,MID,4.6,3.3,2,6.2,2,20,10,0.618,66,3.3,124,6.2,41,2,403.3,8.9,547.3,0.228,638.4,0.186,0.3,0.1
12,xiye,OP,MID,4.5,5.9,2.8,6.8,7,22,11,0.732,131,5.9,151,6.8,63,2.8,441.4,8.8,960.1,0.343,647.5,0.171,0.3,0.2
13,Leyan,KB,JUG,4.5,4.8,3,8.8,5,23,17,0.737,112,4.8,203,8.8,70,3,420.7,8.1,598.7,0.216,1182,0.306,0.3,0.3
14,Lwx,BYG,ADC,4.4,5.6,2.8,6.8,1,20,11,0.71,112,5.6,136,6.8,56,2.8,448.1,9.7,745.2,0.286,504.9,0.141,0.3,0.3
15,Cat,KB,SUP,4.4,1,3.1,12.9,1,23,17,0.754,25,1,297,12.9,73,3.1,255,1.1,178.2,0.064,554.9,0.144,1.8,0.3
16,Puff,SG,ADC,4.3,4.9,2.6,6.2,5,23,13,0.719,114,4.9,143,6.2,60,2.6,451.3,9.9,736.5,0.287,485.8,0.133,0.2,0.3
17,XLB,BGM,JUG,4.2,3.7,2.7,7.8,3,20,10,0.752,75,3.7,156,7.8,55,2.7,357.8,6.3,434.4,0.18,1003.6,0.292,0.3,0.5
18,Kid,BYG,JUG,4.1,3.7,3.1,9.1,7,20,11,0.736,74,3.7,183,9.1,63,3.1,342.8,5.9,376.2,0.144,1001.1,0.281,0.3,0.2
19,957,M3,TOP,4,3.3,2.2,5.5,2,23,11,0.604,77,3.3,128,5.5,51,2.2,376,7.8,463.2,0.191,697.7,0.215,0.3,0.1
20,Mint,OP,ADC,3.9,4.5,3.1,7.7,0,22,11,0.703,100,4.5,171,7.7,70,3.1,428.9,9,631.6,0.225,519.2,0.137,0.3,0.3
21,Ning,OP,JUG,3.8,3.7,3.1,8.2,2,22,11,0.685,83,3.7,181,8.2,70,3.1,377.9,7.2,513.8,0.183,1169.2,0.309,0.3,0.3
22,Langx,SG,TOP,3.8,2.2,2.2,6.4,3,23,13,0.557,51,2.2,148,6.4,52,2.2,392.3,8.4,540.3,0.21,794,0.218,0.4,0.1
23,Cloud,BYG,SUP,3.8,0.9,3.3,11.8,0,20,11,0.727,18,0.9,236,11.8,66,3.3,250.9,1.3,181.2,0.069,455,0.127,2.2,0.4
24,Xiaocaobao,SG,MID,3.7,4.3,2.8,6.1,3,23,13,0.677,100,4.3,142,6.1,66,2.8,447.4,9.6,724.8,0.282,721,0.198,0.3,0.4
25,imp,BGM,ADC,3.6,4.5,3,6.3,3,20,10,0.71,91,4.5,127,6.3,61,3,441.9,9.5,736,0.306,530.3,0.154,0.3,0.3
