Index,Player,Team,Position,KDA,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,Gumayusi,T1,ADC,10.6 KDA3.7 / 0.8 / 4.7,0,15,13,60.40%,56,3.7,71,4.7,12,0.8,439.4,9.7,492.4,22.70%,305.4,12.00%,0.5,0.4
2,Keria,T1,SUP,8.4 KDA0.8 / 1.2 / 9.7,2,15,13,75.70%,13,0.8,146,9.7,19,1.2,265.2,1.2,238.1,10.90%,338.7,13.40%,2.1,0.4
3,Peyz,GEN,ADC,6.8 KDA4.6 / 1.3 / 4.4,0,9,6,65.60%,42,4.6,40,4.4,12,1.3,465.5,10.6,636.8,29.40%,354.4,12.10%,0.5,0.4
4,Oner,T1,JUG,6.7 KDA2.4 / 1.7 / 9.0,5,15,13,82.30%,37,2.4,136,9,26,1.7,350.3,5.8,291.5,13.40%,814.6,32.20%,0.4,0.3
5,Aiming,KT,ADC,6.7 KDA5.6 / 1.5 / 4.4,2,12,6,82.80%,68,5.6,53,4.4,18,1.5,490.4,11.2,642,31.20%,360,12.20%,0.3,0.4
6,ShowMaker,DK,MID,6.6 KDA2.5 / 1.2 / 5.7,1,8,4,70.90%,20,2.5,46,5.7,10,1.2,404.7,9.2,597.5,26.30%,395.1,15.50%,0.5,0.4
7,Faker,T1,MID,6.5 KDA3.0 / 1.4 / 6.0,5,15,13,64.70%,46,3,90,6,21,1.4,411.5,9.3,521.4,24.00%,447.6,17.70%,0.4,0.2
8,Ruler,JDG,ADC,6.5 KDA4.0 / 1.3 / 4.5,1,13,8,70.20%,52,4,59,4.5,17,1.3,464.8,10.7,558.1,26.60%,348.2,12.30%,0.6,0.4
9,Light,WBG,ADC,5.8 KDA4.4 / 1.5 / 4.3,6,19,11,67.30%,84,4.4,83,4.3,29,1.5,439.6,9.5,634.6,27.90%,342.2,12.40%,0.4,0.3
10,Chovy,GEN,MID,5.5 KDA3.6 / 1.6 / 5.4,2,9,6,65.60%,33,3.6,49,5.4,15,1.6,425.3,9.8,550.3,25.40%,615.1,21.10%,0.3,0.3
11,Delight,GEN,SUP,5.2 KDA0.4 / 2.0 / 9.8,1,9,6,74.40%,4,0.4,89,9.8,18,2,243.4,1.1,120.3,5.50%,401,13.70%,1.6,0.4
12,Missing,JDG,SUP,5.1 KDA0.7 / 1.8 / 8.6,2,13,8,77.20%,10,0.7,112,8.6,24,1.8,249.2,1.1,199.5,9.50%,426.5,15.10%,1.9,0.4
