Index,Player,Team,Position,KDA,Kill,Death,Assist,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,Scout,LNG,MID,9.3,4.2,1.2,7.3,2,8,5,0.694,34,4.2,59,7.3,10,1.2,428.4,9.3,529.2,0.233,609,0.182,0.3,0.3
2,Peyz,GEN,ADC,8.5,4.1,1.2,6.2,2,14,8,0.796,58,4.1,87,6.2,17,1.2,440.2,9.9,673.8,0.29,383.7,0.117,0.4,0.3
3,Chovy,GEN,MID,7.3,4.2,1.2,5.1,3,14,8,0.719,59,4.2,72,5.1,18,1.2,436.9,9.9,622.3,0.268,593.1,0.181,0.4,0.4
4,GALA,LNG,ADC,7.2,5,1.6,6.7,2,8,5,0.701,40,5,54,6.7,13,1.6,455.3,10.3,728.3,0.321,369.6,0.111,0.2,0.3
5,Betty,PSG,ADC,6.5,4.6,1.5,5.3,1,13,6,0.691,60,4.6,70,5.3,20,1.5,441.8,10.3,755.8,0.307,420.2,0.131,0.3,0.3
6,Gumayusi,T1,ADC,6.4,4.2,1.4,5.1,1,17,13,0.7,73,4.2,88,5.1,25,1.4,470.8,10.8,643.7,0.299,374,0.124,0.4,0.3
7,Oner,T1,JUG,5.9,2.6,1.7,7.4,2,17,13,0.747,45,2.6,127,7.4,29,1.7,363.3,6.9,334.4,0.155,958.5,0.318,0.3,0.3
8,Noah,FNC,ADC,5.9,4.5,1.5,4.3,1,6,2,0.768,27,4.5,26,4.3,9,1.5,445.3,10.2,684.1,0.311,329.6,0.102,0.4,0.2
9,knight,BLG,MID,5.7,4.6,2,6.6,4,20,13,0.74,93,4.6,133,6.6,40,2,421.3,8.9,690.7,0.279,595,0.191,0.3,0.3
10,Keria,T1,SUP,5.3,0.4,1.9,9.8,5,17,13,0.76,8,0.4,167,9.8,33,1.9,256.1,1.2,200.2,0.093,415.4,0.138,2.4,0.4
11,Quad,FLY,MID,5.2,4,1.7,5.3,4,14,7,0.748,56,4,75,5.3,25,1.7,407.6,8.9,634,0.274,494.9,0.148,0.4,0.2
12,Light,WBG,ADC,5.1,4.6,1.9,5.2,0,16,8,0.697,75,4.6,84,5.2,31,1.9,444.4,10.1,613.2,0.267,420.1,0.134,0.3,0.3
13,Xun,BLG,JUG,5.1,2.1,2.2,9.2,1,17,12,0.746,37,2.1,157,9.2,38,2.2,346.2,6.1,364.2,0.147,955.9,0.309,0.3,0.3
14,Canyon,GEN,JUG,5,1.9,1.9,7.7,2,14,8,0.741,27,1.9,108,7.7,27,1.9,343.2,6.6,340.4,0.146,1089.7,0.332,0.4,0.4
15,Yeon,TL,ADC,4.9,3.8,1.8,5,1,10,5,0.676,38,3.8,50,5,18,1.8,444.6,10.4,735.7,0.316,464.4,0.141,0.4,0.4
16,Zeus,T1,TOP,4.8,2.5,1.8,6.3,1,17,13,0.66,44,2.5,108,6.3,32,1.8,401.9,8.3,453.1,0.211,622.7,0.206,0.4,0.1
17,Xiaohu,WBG,MID,4.8,3.6,2.3,7.3,2,16,8,0.771,59,3.6,117,7.3,37,2.3,405.7,8.8,638.5,0.278,549.9,0.175,0.4,0.4
