Index,Player,Position,KDA,MVP,Appearances,Wins,Teamfight Participation Rate,Kills,Average Kills per Game,Assists,Average Assists per Game,Deaths,Average Deaths per Game,Gold per Minute,Creep Score per Minute,Damage per Minute,Damage Share,Damage Taken per Minute,Damage Taken Share,Wards Placed per Minute,Wards Cleared per Minute
1,Scout LNG,MID,9.3 KDA: 4.2 / 1.2 / 7.3,2,8,5,69.40%,34,4.2,59,7.3,10,1.2,428.4,9.3,529.2,23.30%,609,18.20%,0.3,0.3
2,Peyz GEN,ADC,8.5 KDA: 4.1 / 1.2 / 6.2,2,14,8,79.60%,58,4.1,87,6.2,17,1.2,440.2,9.9,673.8,29.00%,383.7,11.70%,0.4,0.3
3,Chovy GEN,MID,7.3 KDA: 4.2 / 1.2 / 5.1,3,14,8,71.90%,59,4.2,72,5.1,18,1.2,436.9,9.9,622.3,26.80%,593.1,18.10%,0.4,0.4
4,GALA LNG,ADC,7.2 KDA: 5.0 / 1.6 / 6.7,2,8,5,70.10%,40,5,54,6.7,13,1.6,455.3,10.3,728.3,32.10%,369.6,11.10%,0.2,0.3
5,Betty PSG,ADC,6.5 KDA: 4.6 / 1.5 / 5.3,1,13,6,69.10%,60,4.6,70,5.3,20,1.5,441.8,10.3,755.8,30.70%,420.2,13.10%,0.3,0.3
6,Gumayusi T1,ADC,6.4 KDA: 4.2 / 1.4 / 5.1,1,17,13,70.00%,73,4.2,88,5.1,25,1.4,470.8,10.8,643.7,29.90%,374,12.40%,0.4,0.3
7,Oner T1,JUG,5.9 KDA: 2.6 / 1.7 / 7.4,2,17,13,74.70%,45,2.6,127,7.4,29,1.7,363.3,6.9,334.4,15.50%,958.5,31.80%,0.3,0.3
8,Noah FNC,ADC,5.9 KDA: 4.5 / 1.5 / 4.3,1,6,2,76.80%,27,4.5,26,4.3,9,1.5,445.3,10.2,684.1,31.10%,329.6,10.20%,0.4,0.2
9,knight BLG,MID,5.7 KDA: 4.6 / 2.0 / 6.6,4,20,13,74.00%,93,4.6,133,6.6,40,2,421.3,8.9,690.7,27.90%,595,19.10%,0.3,0.3
10,Keria T1,SUP,5.3 KDA: 0.4 / 1.9 / 9.8,5,17,13,76.00%,8,0.4,167,9.8,33,1.9,256.1,1.2,200.2,9.30%,415.4,13.80%,2.4,0.4
11,Quad FLY,MID,5.2 KDA: 4.0 / 1.7 / 5.3,4,14,7,74.80%,56,4,75,5.3,25,1.7,407.6,8.9,634,27.40%,494.9,14.80%,0.4,0.2
12,Light WBG,ADC,5.1 KDA: 4.6 / 1.9 / 5.2,0,16,8,69.70%,75,4.6,84,5.2,31,1.9,444.4,10.1,613.2,26.70%,420.1,13.40%,0.3,0.3
13,Xun BLG,JUG,5.1 KDA: 2.1 / 2.2 / 9.2,1,17,12,74.60%,37,2.1,157,9.2,38,2.2,346.2,6.1,364.2,14.70%,955.9,30.90%,0.3,0.3
14,Canyon GEN,JUG,5.0 KDA: 1.9 / 1.9 / 7.7,2,14,8,74.10%,27,1.9,108,7.7,27,1.9,343.2,6.6,340.4,14.60%,1089.7,33.20%,0.4,0.4
15,Yeon TL,ADC,4.9 KDA: 3.8 / 1.8 / 5.0,1,10,5,67.60%,38,3.8,50,5,18,1.8,444.6,10.4,735.7,31.60%,464.4,14.10%,0.4,0.4
16,Zeus T1,TOP,4.8 KDA: 2.5 / 1.8 / 6.3,1,17,13,66.00%,44,2.5,108,6.3,32,1.8,401.9,8.3,453.1,21.10%,622.7,20.60%,0.4,0.1
17,Xiaohu WBG,MID,4.8 KDA: 3.6 / 2.3 / 7.3,2,16,8,77.10%,59,3.6,117,7.3,37,2.3,405.7,8.8,638.5,27.80%,549.9,17.50%,0.4,0.4
18,Aiming DK,ADC,4.8 KDA: 5.0 / 2.0 / 4.6,0,9,3,76.90%,45,5,42,4.6,18,2,450,10.4,652.7,29.80%,457.7,13.40%,0.3,0.3
19,Inspired FLY,JUG,4.7 KDA: 1.0 / 2.0 / 8.6,0,14,7,77.70%,15,1,121,8.6,29,2,338.3,6.6,345.1,14.90%,933.7,28.00%,0.2,0.3
20,Yike G2,JUG,4.5 KDA: 3.1 / 2.3 / 7.6,1,8,3,75.40%,25,3.1,61,7.6,19,2.3,360.6,6.6,421.6,18.70%,1019.3,27.90%,0.6,0.4
21,Easylove GAM,ADC,4.4 KDA: 3.8 / 2.0 / 5.2,0,12,7,64.40%,46,3.8,63,5.2,25,2,425.8,9.9,577.8,24.50%,409.5,11.90%,0.4,0.2
22,Kiaya GAM,TOP,4.4 KDA: 3.8 / 2.0 / 5.4,3,12,7,65.60%,46,3.8,65,5.4,25,2,406.4,8.5,646.8,27.40%,717.2,20.90%,0.5,0.1
23,Keine R7,MID,4.4 KDA: 5.2 / 2.6 / 6.3,2,8,3,79.40%,42,5.2,51,6.3,21,2.6,453.8,9.6,779.1,30.80%,561.6,15.30%,0.5,0.2
24,Tian TES,JUG,4.4 KDA: 2.0 / 2.2 / 7.8,0,8,4,82.20%,16,2,63,7.8,18,2.2,331,6.3,308,13.50%,1041.2,32.50%,0.5,0.4
25,Faker T1,MID,4.4 KDA: 3.5 / 2.1 / 5.7,4,17,13,68.20%,60,3.5,97,5.7,36,2.1,405.2,8.6,514.9,23.90%,638.9,21.20%,0.3,0.3
26,Massu FLY,ADC,4.4 KDA: 4.2 / 2.0 / 5.0,2,14,7,73.70%,59,4.2,70,5,29,2,434.2,9.7,655.8,28.30%,475.6,14.30%,0.3,0.2
27,Bin BLG,TOP,4.3 KDA: 3.5 / 2.0 / 5.0,3,20,13,56.30%,71,3.5,101,5,40,2,403,8.4,496.8,20.10%,625.8,20.10%,0.4,0.1
28,Woody PSG,SUP,4.2 KDA: 0.6 / 2.7 / 11.0,1,13,6,80.80%,9,0.6,143,11,36,2.7,242.1,1,144,5.80%,448.3,13.90%,1.9,0.3
29,Elk BLG,ADC,4.2 KDA: 4.5 / 2.5 / 6.0,5,20,13,69.50%,91,4.5,121,6,51,2.5,447.6,9.8,756.3,30.60%,450.6,14.50%,0.4,0.3
30,Viper HLE,ADC,4.2 KDA: 5.5 / 2.5 / 5.0,3,12,6,75.50%,67,5.5,60,5,30,2.5,462.5,10.9,785.8,33.60%,447.7,13.60%,0.4,0.4
31,Azhi PSG,TOP,4.0 KDA: 2.8 / 2.3 / 6.3,1,13,6,63.20%,37,2.8,82,6.3,30,2.3,384.8,8.2,582.8,23.70%,577.2,18.00%,0.4,0.2
32,Tomo 100,ADC,4.0 KDA: 4.5 / 2.7 / 6.2,0,7,3,68.40%,32,4.5,44,6.2,19,2.7,443.2,9.8,764.6,27.30%,494.7,12.70%,0.3,0.2
33,Elyoya MDK,JUG,4.0 KDA: 2.4 / 2.6 / 7.9,2,10,5,79.20%,24,2.4,79,7.9,26,2.6,345.9,6.5,336.3,14.30%,956.2,28.20%,0.3,0.5
34,Emo GAM,MID,3.9 KDA: 3.0 / 1.9 / 4.4,1,12,7,52.60%,36,3,53,4.4,23,1.9,418.3,9.6,520.7,22.10%,678.5,19.80%,0.3,0.2
35,WeiWei LNG,JUG,3.9 KDA: 2.2 / 3.2 / 10.5,1,8,5,76.10%,18,2.2,84,10.5,26,3.2,338,6.2,295.7,13.00%,983.5,29.50%,0.5,0.3
